,grain0minZ
0,-0.62273085
1,-0.62273085
2,-0.62273085
3,-0.62273085
4,-0.62273085
5,-0.62273085
6,-0.62273085
7,-0.62273085
8,-0.62273085
9,-0.62273085
10,-0.62273085
11,-0.62273085
12,-0.62273085
13,-0.62273085
14,-0.62273085
15,-0.62273085
16,-0.62273085
17,-0.62273085
18,-0.62273085
19,-0.62273085
20,-0.62273085
21,-0.62273085
22,-0.62273085
23,-0.62273085
24,-0.62273085
25,-0.62273085
26,-0.62273085
27,-0.62273085
28,-0.62273085
29,-0.62273085
30,-0.62273085
31,-0.62273085
32,-0.62273085
33,-0.62273085
34,-0.62273085
35,-0.62273085
36,-0.62273085
37,-0.62273085
38,-0.62273085
39,-0.62273085
40,-0.62273085
41,-0.62273085
42,-0.62273085
43,-0.62273085
44,-0.62273085
45,-0.62273085
46,-0.62273085
47,-0.62273085
48,-0.62273085
49,-0.62273085
50,-0.62273085
51,-0.62273085
52,-0.62273085
53,-0.62273085
54,-0.62273085
55,-0.62273085
56,-0.62273085
57,-0.62273085
58,-0.62273085
59,-0.62273085
60,-0.62273085
61,-0.62273085
62,-0.62273085
63,-0.62273085
64,-0.62273085
65,-0.62273085
66,-0.62273085
67,-0.62273085
68,-0.62273085
69,-0.62273085
70,-0.62273085
71,-0.62273085
72,-0.62273085
73,-0.62273085
74,-0.62273085
75,-0.62273085
76,-0.62273085
77,-0.62273085
78,-0.62273085
79,-0.62273085
80,-0.62273085
81,-0.62273085
82,-0.62273085
83,-0.62273085
84,-0.62273085
85,-0.62273085
86,-0.62273085
87,-0.62273085
88,-0.62273085
89,-0.62273085
90,-0.62273085
91,-0.62273085
92,-0.62273085
93,-0.62273085
94,-0.62273085
95,-0.62273085
96,-0.62273085
97,-0.62273085
98,-0.62273085
99,-0.62273085
100,-0.62273085
101,-0.62273085
102,-0.62273085
103,-0.62273085
104,-0.62273085
105,-0.62273085
106,-0.62273085
107,-0.62273085
108,-0.62273085
109,-0.62273085
110,-0.62273085
111,-0.62273085
112,-0.62273085
113,-0.62273085
114,-0.62273085
115,-0.62273085
116,-0.62273085
117,-0.62273085
118,-0.62273085
119,-0.62273085
120,-0.62273085
121,-0.62273085
122,-0.62273085
123,-0.62273085
124,-0.62273085
125,-0.62273085
126,-0.57452273
127,-0.57452273
128,-0.57452273
129,-0.57452273
130,-0.57452273
131,-0.57452273
132,-0.57452273
133,-0.57452273
134,-0.57452273
135,-0.57452273
136,-0.57452273
137,-0.57452273
138,-0.57452273
139,-0.57452273
140,-0.57452273
141,-0.57452273
142,-0.57452273
143,-0.57452273
144,-0.57452273
145,-0.57452273
146,-0.57452273
147,-0.57452273
148,-0.57452273
149,-0.57452273
150,-0.57452273
151,-0.57452273
152,-0.57452273
153,-0.57452273
154,-0.57452273
155,-0.57452273
156,-0.57452273
157,-0.57452273
158,-0.57452273
159,-0.57452273
160,-0.57452273
161,-0.57452273
162,-0.57452273
163,-0.57452273
164,-0.57452273
165,-0.57452273
166,-0.57452273
167,-0.57452273
168,-0.57452273
169,-0.57452273
170,-0.57452273
171,-0.57452273
172,-0.57452273
173,-0.57452273
174,-0.57452273
175,-0.57452273
176,-0.57452273
177,-0.57452273
178,-0.57452273
179,-0.57452273
180,-0.57452273
181,-0.57452273
182,-0.57452273
183,-0.57452273
184,-0.57452273
185,-0.57452273
186,-0.57452273
187,-0.57452273
188,-0.57452273
189,-0.57452273
